Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Finland,Europe,24629,4445.09,2990,322,393,70.93,18,0,Community transmission
Cameroon,Africa,24445,920.86,603,328,437,16.46,2,0,Community transmission
Sri Lanka,South-East Asia,22988,1073.54,2817,487,109,5.09,22,2,Clusters of cases
Côte d’Ivoire,Africa,21310,807.86,172,49,131,4.97,0,0,Community transmission
Uganda,Africa,20145,440.41,2177,201,201,4.39,29,0,Community transmission
Zambia,Africa,17608,957.79,184,19,357,19.42,0,0,Community transmission
Sudan,Eastern Mediterranean,17404,396.91,973,0,1235,28.16,33,0,Community transmission
Madagascar,Africa,17341,626.23,0,0,251,9.06,0,0,Community transmission
Latvia,Europe,16975,8999.59,3855,414,197,104.44,44,4,Clusters of cases
Senegal,Africa,16075,960.05,193,48,333,19.89,3,1,Community transmission
Mozambique,Africa,15613,499.53,576,27,130,4.16,6,1,Community transmission
Angola,Africa,15103,459.53,610,16,346,10.53,9,1,Community transmission
Namibia,Africa,14345,5645.63,480,60,151,59.43,7,1,Community transmission
French Polynesia,Western Pacific,14096,50180.13,1118,0,73,259.87,10,0,Sporadic cases
Guinea,Africa,13039,992.86,213,0,76,5.79,1,0,Community transmission
Maldives,South-East Asia,12994,24038.75,386,47,46,85.1,0,0,Clusters of cases
Democratic Republic of the Congo,Africa,12701,141.81,463,94,333,3.72,5,0,Community transmission
Tajikistan,Europe,12155,1274.42,261,37,86,9.02,0,0,Pending
Estonia,Europe,12052,9085.32,2328,354,112,84.43,24,3,Clusters of cases
French Guiana,Americas,11179,37427.77,165,0,70,234.36,0,0,Community transmission
Jamaica,Americas,10709,3616.48,425,40,256,86.45,18,5,Community transmission
Cabo Verde,Africa,10526,18932.1,250,0,104,187.05,0,0,Community transmission
Cyprus,Europe,10383,8599.76,1740,152,48,39.76,4,0,Clusters of cases
Botswana,Africa,9992,4248.97,398,0,31,13.18,0,0,Community transmission
Zimbabwe,Africa,9950,669.45,730,128,276,18.57,8,1,Community transmission
Malta,Europe,9501,21517.72,508,0,128,289.89,18,0,Clusters of cases
Haiti,Americas,9272,813.15,58,8,232,20.35,0,0,Community transmission
Gabon,Africa,9191,4129.42,60,0,59,26.51,0,0,Community transmission
Mauritania,Africa,8424,1811.75,349,0,172,36.99,3,0,Community transmission
Guadeloupe,Americas,8344,20853.54,119,0,149,372.38,5,0,Community transmission
Cuba,Americas,8233,726.87,387,60,134,11.83,2,1,Clusters of cases
Réunion,Africa,8054,8995.75,553,114,40,44.68,5,0,Clusters of cases
Syrian Arab Republic,Eastern Mediterranean,7797,445.53,572,82,413,23.6,37,4,Community transmission
Bahamas,Americas,7503,19079.76,90,7,163,414.5,0,0,Clusters of cases
Andorra,Europe,6712,86869.86,456,102,76,983.63,0,0,Community transmission
Guam,Western Pacific,6691,39644.5,263,36,112,663.61,6,0,Clusters of cases
Trinidad and Tobago,Americas,6630,4737.45,306,44,118,84.32,3,0,Community transmission
Eswatini,Africa,6410,5525.08,191,4,121,104.3,1,0,Community transmission
Malawi,Africa,6025,314.95,22,0,185,9.67,0,0,Community transmission
Rwanda,Africa,5919,456.99,254,47,48,3.71,1,1,Clusters of cases
Congo,Africa,5774,1046.38,142,0,94,17.03,1,0,Community transmission
Djibouti,Eastern Mediterranean,5677,5745.95,9,1,61,61.74,0,0,Clusters of cases
Belize,Americas,5647,14201.72,537,60,144,362.15,32,3,Community transmission
Uruguay,Americas,5511,1586.48,947,208,75,21.59,6,1,Clusters of cases
Martinique,Americas,5413,14424.47,322,0,40,106.59,1,0,Community transmission
Iceland,Europe,5381,15768.82,104,10,26,76.19,0,0,Community transmission
Guyana,Americas,5338,6786.58,245,28,149,189.43,6,0,Clusters of cases
Suriname,Americas,5312,9055.08,17,1,117,199.44,1,0,Sporadic cases
Mayotte,Africa,5181,18990.89,145,0,49,179.61,1,0,Clusters of cases
Equatorial Guinea,Africa,5153,3672.88,23,0,85,60.59,0,0,Community transmission
Central African Republic,Africa,4913,1017.23,2,0,63,13.04,0,0,Community transmission
Aruba,Americas,4791,44873.84,98,0,45,421.48,0,0,Community transmission
Mali,Africa,4688,231.5,433,121,152,7.51,7,3,Community transmission
Nicaragua,Americas,4629,698.76,46,0,160,24.15,1,0,Community transmission
Somalia,Eastern Mediterranean,4451,280.06,6,0,113,7.11,0,0,Sporadic cases
Thailand,South-East Asia,3977,56.98,57,11,60,0.86,0,0,Clusters of cases
Gambia,Africa,3734,1545.1,8,0,123,50.9,0,0,Community transmission
South Sudan,Africa,3104,277.3,57,0,61,5.45,1,0,Community transmission
Benin,Africa,2974,245.31,58,0,43,3.55,0,0,Community transmission
Togo,Africa,2946,355.85,117,20,64,7.73,0,0,Community transmission
Burkina Faso,Africa,2856,136.63,121,40,68,3.25,0,0,Community transmission
Guinea-Bissau,Africa,2422,1230.69,1,0,43,21.85,0,0,Community transmission
Sierra Leone,Africa,2411,302.24,6,1,74,9.28,0,0,Community transmission
Lesotho,Africa,2109,984.48,24,0,44,20.54,0,0,Community transmission
Yemen,Eastern Mediterranean,2081,69.77,8,3,606,20.32,1,1,Sporadic cases
Curaçao,Americas,2046,12468.54,485,0,3,18.28,0,0,Community transmission
New Zealand,Western Pacific,1700,352.53,27,4,25,5.18,0,0,Clusters of cases
Chad,Africa,1682,102.4,40,19,101,6.15,0,0,Community transmission
San Marino,Europe,1609,47409.98,181,23,45,1325.95,1,0,Community transmission
Liberia,Africa,1598,315.96,44,3,83,16.41,1,0,Community transmission
United States Virgin Islands,Americas,1544,14785.73,40,6,23,220.25,0,0,Community transmission
Niger,Africa,1516,62.63,148,44,70,2.89,0,0,Community transmission
Viet Nam,Western Pacific,1343,13.8,36,2,35,0.36,0,0,Clusters of cases
Liechtenstein,Europe,1273,33379.66,161,0,15,393.32,7,0,Sporadic cases
Sint Maarten,Americas,1041,24275.92,68,0,25,583,1,0,Community transmission
Gibraltar,Europe,1009,29948.65,56,10,5,148.41,2,0,Clusters of cases
Sao Tome and Principe,Africa,989,4512.71,10,4,17,77.57,0,0,Community transmission
Jersey,Europe,923,8483.46,117,0,32,294.12,0,0,Community transmission
Mongolia,Western Pacific,784,239.15,155,24,0,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,748,19319.18,2,0,6,154.97,0,0,Clusters of cases
Other,Other,741,,0,0,13,,0,0,Not applicable
Saint Martin,Americas,690,17848.37,0,0,12,310.41,0,0,Community transmission
Burundi,Africa,688,57.86,24,7,1,0.08,0,0,Community transmission
Papua New Guinea,Western Pacific,655,73.21,51,10,7,0.78,0,0,Community transmission
Comoros,Africa,610,701.47,18,0,7,8.05,0,0,Community transmission
Monaco,Europe,608,15492.81,26,1,3,76.44,0,0,Sporadic cases
Eritrea,Africa,577,162.7,26,0,0,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Faroe Islands,Europe,502,10273.2,2,0,0,0,0,0,Sporadic cases
Mauritius,Africa,501,393.94,10,0,10,7.86,0,0,Clusters of cases
Bhutan,South-East Asia,396,513.21,14,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,369,4339.54,1,0,25,294.01,0,0,No cases
Cambodia,Western Pacific,323,19.32,17,8,0,0,0,0,Sporadic cases
Guernsey,Europe,286,4525.6,3,0,13,205.71,0,0,Community transmission
Barbados,Americas,275,956.94,16,5,7,24.36,0,0,Clusters of cases
Cayman Islands,Americas,274,4169.2,13,0,2,30.43,0,0,Sporadic cases
Saint Lucia,Americas,252,1372.35,48,6,2,10.89,0,0,Sporadic cases
Bermuda,Americas,251,4030.64,24,4,9,144.52,0,0,Clusters of cases
Seychelles,Africa,172,1748.91,11,0,0,0,0,0,Sporadic cases
"Bonaire, Sint Eustatius and Saba",Americas,161,6140.12,3,0,3,114.41,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,150,342.87,2,0,3,6.86,0,0,No cases
Antigua and Barbuda,Americas,141,1439.82,2,0,4,40.85,0,0,Sporadic cases
Saint Barthélemy,Americas,127,12847.75,0,0,0,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,105,1824.28,1,0,2,34.75,0,0,Pending
Dominica,Americas,85,1180.7,8,0,0,0,0,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,85,766.18,1,0,0,0,0,0,Sporadic cases
British Virgin Islands,Americas,73,2414.26,1,1,1,33.07,0,0,Clusters of cases
Grenada,Americas,41,364.37,0,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,39,5.36,14,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,38,42.39,3,0,2,2.23,0,0,Sporadic cases
New Caledonia,Western Pacific,32,112.08,0,0,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,30,22.75,0,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,22,413.6,2,0,0,0,0,0,Sporadic cases
Greenland,Europe,18,317.06,0,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,17,4880.85,1,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,17,24.75,1,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,14,2415.88,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Anguilla,Americas,6,399.95,2,2,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,3,266.76,1,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,Sporadic cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
